text,label,label_text
Loving @user @user talk #challenge #fear #map #inspiration #stayunstoppable,2,optimism
"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfulness #success",2,optimism
@user there is no room for jokes in hockey! This is a serious business where we made up teams to fill out the tournament!,2,optimism
resentment is rlly my shit.,0,anger
"@user -Sylvia was elated to receive kisses from the little prince, her bright smile clear as she glanced to Garrett and Elyse- --",1,joy
@user ehhh I guess. I want to everyone I've ever burst out laughing in front of😂,1,joy
I wish the next madden has a story mode too. Just like Fifa 17,2,optimism
Benefit out exhilaration called online backing off: JkUVmvQXY,1,joy
Lady gaga fucking followed i have been waiting for this day for ages it fucking happened im shaking thank you so much @user ❤️,1,joy
@user I know if I wasn't an optimist I would despair.,2,optimism
Let's refuse to live in #fear -  #c$%t,2,optimism
Thiza!!! What happens now when you tell him you're pregnant via home test &amp; nurse later tells you it's a false alarm &amp; BaE is too excited🙊,3,sadness
So you're unhappy?,3,sadness
"@user [He grumbled as he sat atop the sushi bar stool, crossing his arms defiantly, in a playful gesture, though he gave anyone who &gt;",0,anger
Mom you remember when Narley died? You cried like a baby!,3,sadness
@user it's old sadly,3,sadness
Q&amp;A with N. Christie @user fr. @user What would Peter and Dardanella think of us knowing? #poorthings #shy,3,sadness
#FF @user @user Keep on #smiling … !,1,joy
@user I'm wearing all black tomorrow to mourn. 😭💔,3,sadness
#NawazSharif says India poses unacceptable conditions to dialogue.#India's only condition is an end to #terrorism. :@MEAIndia,0,anger
Watching Avatar and wondering why I took so long to watch this *collapses in a joyous heap*,1,joy
@user @user Classic SHITLIB bullshit. Create a horrible problem and then 'discuss' how to solve it. What a PIMP.,0,anger
@user which was worse than expected and hilarious too. no one will even remember.,1,joy
Omg he kissed her🙈 #shy #w,1,joy
I want to pour all my tears on someone right now. So tired of this #upset #sad,3,sadness
"Americans as a whole are, for the most part, feeling borderline despair at the very least. Looking at a situation out of control.",0,anger
"I believe the work I do is meaningful; my clients would agree but at the end of the day, I feel like a pawn, lost in this chaotic world.",3,sadness
@user against Chelsea anything is possible haha. I'm fuming about that bet 🙄🙄🙄🙄🙄🙄,0,anger
Don't get discouraged when simple minds don't see your vision,2,optimism
@user @user had more fun than the funniest person in funsville..... Much hilarity as usual.... Thank you ❤️,1,joy
"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone #nervous",3,sadness
Always borrow money from a pessimist; he doesn't expect to be paid back.,2,optimism
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,0,anger
If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of @user concerts in LA. #serious,2,optimism
"I want my highlight to be so bright that if I ever get lost and someone is looking for me in the dark, they'll find me.",2,optimism
We stayed up all night long\nMade our drinks too strong\nFeeling ten feet tall\nRopes swinging into the water\nIn the middle of the night,1,joy
@user grim what the fuck going on with these dame fucking clowns takeing the gameing channel if I had a way to nj I would delete,0,anger
I haven't watched my favorite youtubers in months and it's honestly made my depression so much worse,3,sadness
Sickness bug! #awful,0,anger
kenny - where were you born\nme - washington\nkenny - you fucking liar you were born in the fiery pits of hell,0,anger
